"term"	"term_count"
"n------d-"	101
"v2pasp---"	101
"v-papamg-"	102
"n-p---ca-"	103
"n------n-"	105
"n-s---cn-"	105
"v-prpmmg-"	107
"v-pppana-"	109
"v--rna---"	113
"v2ppsa---"	113
"v2siia---"	114
"v-srpmfa-"	115
"v1paip---"	116
"p1p---cn-"	117
"v-sppmnn-"	119
"n-----m--"	120
"v-sppana-"	120
"v2pfip---"	120
"v-srpmnn-"	121
"a-p---fg-"	122
"v-srpmma-"	123
"v3spmm---"	123
"m-s---fn-"	124
"v-prpmnn-"	127
"v-sapama-"	131
"v2paip---"	131
"m-p---fn-"	133
"m-p---fa-"	134
"v-pppmmd-"	136
"v-prpmma-"	137
"v3slia---"	140
"v-sppafg-"	141
"v-sppmmg-"	142
"a-p---mnc"	144
"v1pria---"	146
"v-sppann-"	148
"v1siia---"	148
"m-p---na-"	149
"n-p---cg-"	149
"v-papmmn-"	149
"n-s---nv-"	151
"v3ppsa---"	151
"v-prpmna-"	152
"v1siim---"	152
"a-p---fd-"	153
"v2spim---"	154
"p1p---cd-"	157
"v2saip---"	157
"n-p---cn-"	158
"v2ppim---"	161
"v2pria---"	161
"v3pama---"	161
"v3samp---"	161
"v3pria---"	162
"m-s---fa-"	163
"v-sppmfn-"	164
"p1p---ca-"	165
"v1sfip---"	165
"v2sasp---"	165
"a-s---nac"	169
"v-sapamg-"	170
"v-sppafa-"	173
"v-srpmfn-"	174
"v-sppamd-"	178
"v3pasp---"	179
"v-prpamn-"	180
"v2sfip---"	184
"v-pppmmg-"	187
"v2sria---"	199
"v-sapafn-"	202
"v-pappmn-"	204
"a-s---mnc"	207
"p2s---cn-"	209
"v2pamm---"	213
"v1pfim---"	218
"v-pppmma-"	219
"p2p---cn-"	229
"v2samp---"	231
"v-sppmma-"	233
"n-s---fv-"	234
"v-srpamn-"	234
"m-p---ma-"	235
"v1pfia---"	235
"m-s---ma-"	237
"v2saim---"	246
"p2s---ca-"	247
"p-p---fg-"	253
"p2s---cd-"	256
"d-------c"	263
"v3spma---"	273
"p-p---fn-"	274
"v3sama---"	274
"n------g-"	278
"m-s---mn-"	290
"v1saip---"	290
"v-srpmmn-"	291
"v-pppamd-"	293
"v-sapmmn-"	298
"v-prpmmn-"	301
"v3saoa---"	304
"n-s----a-"	309
"v1saim---"	317
"v2samm---"	318
"n-p---mv-"	342
"a-p---nd-"	345
"v3sasm---"	349
"p-p---fd-"	353
"n-s----n-"	356
"v2ppmm---"	360
"v1spim---"	361
"v-sppafn-"	369
"a-p---fn-"	370
"p1p---cg-"	372
"v1pasa---"	375
"v3spsa---"	375
"p1s---cd-"	385
"p-s---nd-"	395
"v3ppim---"	407
"v-sppama-"	409
"p2p---ca-"	411
"v2spmm---"	413
"v2pfim---"	421
"p1s---ca-"	429
"v-sappmn-"	430
"v-sppamg-"	442
"v1ppia---"	446
"m-p---mn-"	447
"v1sasa---"	453
"v2pasa---"	471
"p1s---cn-"	477
"v3piim---"	492
"v2paia---"	494
"a-p---fa-"	497
"p-p---nd-"	509
"v3sasp---"	524
"v1sria---"	530
"v3pasa---"	532
"v2pfia---"	533
"v3srim---"	533
"v1paia---"	535
"v-pppamg-"	554
"v--anm---"	566
"p2p---cg-"	567
"p2p---cd-"	569
"v3pfip---"	570
"v3sria---"	606
"v-pppmmn-"	620
"v3siim---"	630
"p-p---cn-"	640
"v-pppama-"	640
"v2ppia---"	648
"p2s---cg-"	675
"n-s------"	678
"v--anp---"	679
"p-p---fa-"	684
"p-s---ng-"	705
"a-p---ng-"	722
"v2sfim---"	724
"v2spma---"	740
"p-p---ng-"	756
"v3paim---"	759
"v--pnm---"	766
"v1sfim---"	774
"a-p---md-"	815
"p-p---nn-"	819
"a-s---md-"	824
"p1s---cg-"	836
"v2sasa---"	840
"v2ppma---"	874
"v2spia---"	908
"a-s---ng-"	915
"a-p---nn-"	926
"a-s---fg-"	934
"v-papamn-"	937
"v-sppmmn-"	952
"a-s---nd-"	978
"l-p---nd-"	1030
"a-s---mg-"	1034
"p-s---fn-"	1142
"l-p---fg-"	1153
"a-s---fd-"	1160
"p-p---cd-"	1198
"l-p---fd-"	1201
"l-p---fn-"	1241
"p-p---ca-"	1243
"v3spim---"	1272
"p-s---nn-"	1280
"n-s----g-"	1287
"v3pfim---"	1292
"v3paip---"	1300
"v3pfia---"	1395
"v3ppia---"	1404
"a-s---fn-"	1419
"n-p---nd-"	1426
"v3piia---"	1462
"v3sfip---"	1465
"v2saia---"	1468
"a-s---nn-"	1492
"v2pama---"	1509
"v2sfia---"	1510
"n-s---mv-"	1543
"v1spia---"	1546
"a-p---ma-"	1576
"l-p---nn-"	1624
"a-s---fa-"	1641
"v3sasa---"	1669
"p-s---fd-"	1726
"l-p---ng-"	1792
"i--------"	1808
"v-sapamn-"	1848
"n-p---nn-"	1938
"n-p---fd-"	2002
"a-s---ma-"	2010
"p-p---mn-"	2024
"v-pppamn-"	2027
"a-p---na-"	2035
"a-p---mg-"	2115
"n-p---fg-"	2148
"a-s---na-"	2162
"l-s---nd-"	2170
"v1sfia---"	2185
"n-p---fn-"	2191
"v1saia---"	2392
"n-p---md-"	2453
"v--pna---"	2480
"a-p---mn-"	2493
"n-p---ng-"	2497
"v2sama---"	2530
"v3siia---"	2566
"p-p---md-"	2572
"l-s---nn-"	2588
"l-p---fa-"	2600
"p-s---cd-"	2617
"v3saim---"	2657
"p-s---fa-"	2679
"l-p---md-"	2684
"n-s---nd-"	2849
"p-s---fg-"	2968
"v3saip---"	3049
"p-p---cg-"	3165
"v3sfia---"	3254
"p-s---na-"	3292
"v3sfim---"	3334
"p-p---na-"	3400
"m--------"	3431
"p-s---mn-"	3441
"p-s---cn-"	3498
"v-sppamn-"	3585
"p-s---ca-"	3728
"p-p---ma-"	3819
"p-s---md-"	4010
"a-s---mn-"	4076
"l-s---ng-"	4077
"l-p---ma-"	4199
"l-s---fd-"	4322
"n-s---m--"	4329
"l-p---na-"	4359
"n-s---nn-"	4375
"n-s---ng-"	4380
"l-p---mg-"	4657
"l-s---fn-"	4759
"n-p---na-"	4792
